id,Player,Seasons,Possessions,Rapm
390,Lance Stephenson,2017-21,15480,-0.49
858,Brice Johnson,2017-21,451,-0.49
949,Adreian Payne,2017-21,700,-0.49
64,Ty-Shon Alexander,2017-21,198,-0.5
657,Gary Trent Jr.,2017-21,14630,-0.5
53,Tyler Zeller,2017-21,8118,-0.51
160,Sam Dekker,2017-21,12980,-0.51
293,Mike Tobey,2017-21,92,-0.51
448,Kalin Lucas,2017-21,22,-0.51
800,D'Angelo Russell,2017-21,35168,-0.51
137,Shelvin Mack,2017-21,16066,-0.52
677,Erik McCree,2017-21,33,-0.52
929,Alonzo Gee,2017-21,378,-0.52
9,Zach Lofton,2017-21,15,-0.53
495,Jontay Porter,2017-21,217,-0.53
564,Jarell Eddie,2017-21,310,-0.53
685,Emeka Okafor,2017-21,1538,-0.53
919,Andrew Bogut,2017-21,5045,-0.53
97,Tiago Splitter,2017-21,307,-0.54
157,Scott Machado,2017-21,77,-0.54
289,Milton Doyle,2017-21,504,-0.54
434,Kenneth Faried,2017-21,10563,-0.54
561,Jarnell Stokes,2017-21,26,-0.54
582,Jameel Warney,2017-21,100,-0.54
711,Donte Grantham,2017-21,8,-0.54
891,B.J. Johnson,2017-21,592,-0.54
